ID,Ws,WD_cos,WD_sin,temp,SurfPressure,ln(conc)
1,3.57,-0.224951054,-0.974370065,253.6,819,1.23E+00
2,3.7,-0.250380004,-0.96814764,253.6,818,6.73E-01
3,3.71,-0.397147891,-0.917754626,254.1,818,7.23E-01
4,3.96,-0.384295323,-0.923210217,254.5,818,4.57E-01
5,4.25,-0.307356618,-0.951594404,257,818,1.31E-01
6,4.78,-0.272280247,-0.962217994,258.2,817,1.11E+00
7,5.04,-0.31067643,-0.950515732,258.6,817,1.90E+00
8,4.91,-0.318959309,-0.94776841,259.6,817,2.99E+00
9,4.57,-0.320612991,-0.947210278,262.8,817,4.28E+00
10,3.97,-0.376224263,-0.926528631,264.5,817,6.02E+00
11,3.75,-0.280666709,-0.959805292,265.9,816,4.86E+00
12,3.16,-0.09063258,-0.995884399,266.9,816,5.56E+00
13,2.19,0.008726535,-0.999961923,267.4,816,5.97E+00
14,1.96,0.230049737,-0.973178873,267.5,815,5.66E+00
15,0.67,0.76266833,-0.64678978,267.1,815,4.25E+00
16,0.44,0.623879597,-0.781520472,261.9,816,2.45E+00
17,3.19,0.617035875,-0.786935022,258.3,816,4.79E+00
18,3.78,0.519519112,-0.85445883,258.5,816,4.93E+00
19,3.76,0.272280247,-0.962217994,257.7,817,5.29E+00
20,4.06,0.257132793,-0.966376079,257.8,817,5.61E+00
21,3.99,0.206204185,-0.978508985,259.6,816,5.35E+00
22,4.09,0.199367934,-0.979924705,260,817,5.69E+00
23,4.43,0.333806859,-0.942641491,259.9,817,5.62E+00
24,4.41,0.219846204,-0.975534544,259.5,817,3.88E+00
25,4.58,0.054078813,-0.99853667,259.9,817,2.99E+00
26,4.93,0.031410759,-0.99950656,260.4,817,2.58E+00
27,5.1,0.033155178,-0.999450216,260.9,817,1.96E+00
28,5.7,0.130526192,-0.991444861,261.8,817,1.50E+00
29,7.1,0.139173101,-0.990268069,262.1,817,4.66E+00
30,7.8,0.152985836,-0.988228381,262.1,816,5.00E+00
31,8.19,0.231747903,-0.972775878,263.2,816,3.24E+00
32,9.07,0.290702194,-0.956813584,264.4,816,9.52E-01
33,9.37,0.337095258,-0.941470545,266.2,816,-1.60E+00
34,8.86,0.496973961,-0.867765453,267.6,815,-2.93E+00
35,11.8,0.557745109,-0.830012285,268.7,815,-5.67E+00
36,10.86,0.615661475,-0.788010754,268.5,815,-8.80E+00
37,8.58,0.744311546,-0.667832555,268.4,815,-2.84E+00
38,7.71,0.715692734,-0.698415285,268,815,-3.05E+00
39,11.06,0.724171861,-0.689619544,268.2,815,1.35E+00
40,10.27,0.670426619,-0.741975841,267.6,815,-2.83E+00
41,11.24,0.629320391,-0.777145961,267,815,-1.38E+01
42,11.46,0.738455341,-0.674302388,268,815,-1.61E+01
43,10.62,0.779337965,-0.626603811,267.7,815,-1.80E+01
44,10.13,0.785856893,-0.618408395,267,816,-8.49E+00
45,8.57,0.81613759,-0.577857624,266.5,815,-4.19E+00
46,5.25,0.751264134,-0.660001668,265.4,815,-1.24E+01
47,2.87,0.318959309,-0.94776841,261.7,817,4.84E+00
48,1.61,-0.767165152,-0.641449632,261.9,817,4.31E+00
49,2.19,-0.371367836,-0.928485827,262.1,817,1.36E+01
50,2.21,-0.400349033,-0.91636273,262.1,817,6.20E+00
51,3.69,-0.94664926,-0.322265695,262.3,818,-7.64E-01
52,3.95,-0.956304756,-0.292371705,262.9,817,-7.03E+00
53,2.78,-0.847121921,-0.53139858,263.6,817,-6.74E+00
54,3.93,-0.946085359,-0.323917418,265.5,818,-5.86E+00
55,3.89,-0.912834177,-0.40833046,266.4,818,-4.82E+00
56,3.6,-0.848048096,-0.529919264,266.3,818,-7.46E+00
57,2.32,-0.898794046,-0.438371147,269.7,818,0.00E+00
58,1.15,0.073238197,-0.997314477,272.6,818,0.00E+00
59,2.73,-0.026176948,-0.999657325,272.6,818,0.00E+00
60,3.44,0.043619387,-0.999048222,273,817,0.00E+00
61,3.02,0.106264071,-0.994337944,273.7,817,-2.46E+01
62,3.03,0.130526192,-0.991444861,273.8,816,0.00E+00
63,2.1,-0.503019947,-0.864274802,272.4,816,-1.68E+01
64,3.29,-0.703394703,-0.710799474,268.2,815,0.00E+00
65,3.25,-0.161603821,-0.986855716,270.8,814,0.00E+00
66,4,-0.083677843,-0.996492859,271.1,815,0.00E+00
67,4.24,0.06279052,-0.998026728,271.1,815,0.00E+00
68,4.26,0.248689887,-0.968583161,272.2,816,0.00E+00
69,4.98,0.257132793,-0.966376079,271.2,814,-5.91E-01
70,5.45,0.19765734,-0.980271175,270.8,815,1.70E+00
71,6.22,0.206204185,-0.978508985,271.1,815,1.14E+01
72,6.55,0.313992456,-0.949425478,271.7,815,7.69E+00
73,5.97,0.446197813,-0.894934362,270.8,815,7.27E+00
74,5.8,0.573576436,-0.819152044,270.9,815,6.42E+00
75,5.34,0.594822787,-0.803856861,270.2,815,4.50E+00
76,5.03,0.487859659,-0.872922077,269.7,816,-6.97E+00
77,5.09,0.252069358,-0.96770917,269.4,815,-1.18E+01
78,5.43,0.149535343,-0.988756381,269.3,815,-4.08E+00
79,5.45,0.22835087,-0.973578903,269.3,816,-4.06E+00
80,5.29,0.289031797,-0.957319498,269.8,816,-1.65E+00
81,5.34,0.478691858,-0.877982975,271.8,816,-8.49E+00
82,5.34,0.458649554,-0.888617233,272.6,816,-1.27E+01
83,5.24,0.390731128,-0.920504853,273.2,816,-1.95E+01
84,5.05,0.395545503,-0.918446381,273.7,816,-1.40E+01
85,4.2,0.290702194,-0.956813584,274.3,816,-2.67E+01
86,4.08,0.317304656,-0.948323655,274,816,-1.49E+01
87,4.21,0.116670737,-0.99317065,272.9,816,-4.34E+00
88,5.26,0.142628934,-0.989776231,271,816,-8.33E+00
89,4.64,0.317304656,-0.948323655,271,815,-2.58E+00
90,4.48,0.302369891,-0.953190668,270.5,815,-2.74E+00
91,4.3,0.130526192,-0.991444861,269.7,815,-5.37E+00
92,4.27,0.139173101,-0.990268069,269.9,815,-1.05E+01
93,4.31,0.183951351,-0.982935349,270.1,815,-5.56E+00
94,4.49,-0.010471784,-0.999945169,270.7,815,1.05E+00
95,4.22,-0.027921639,-0.999610115,270.5,816,1.04E+01
96,3.93,-0.397147891,-0.917754626,268.1,816,8.53E+00
97,4.09,-0.433659085,-0.901077021,269.5,815,1.09E+01
98,4.08,-0.149535343,-0.988756381,269.1,815,9.44E+00
99,3.92,-0.121869343,-0.992546152,269.1,816,2.85E-01
100,3.82,-0.059306374,-0.998239828,269.8,816,-7.50E+00
101,3.9,0.055821505,-0.998440764,271.2,816,-9.77E+00
102,3.9,0.125333234,-0.992114701,272.5,815,-2.06E+00
103,3.97,0.142628934,-0.989776231,272.2,816,1.23E+01
104,4.52,0.00698126,-0.999975631,272.1,816,1.03E+01
105,3.58,-0.270600446,-0.962691746,273.5,816,2.53E+00
